player_name,player_id,season,poss,MP,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Kevon Looney,looneke01,2021,1911,896,-1.630055948407684,1.154732817579663,-.4753231308280217,3.674522818833943,.4753535421961189,4.149876361030063,-.619821938184024,1.041378205855048,.4215562676710236,1.432101746287313,1.432101746287313,0,-1.98831046783523,1.308595492970162,-.6797149748650683,-1.234933589539027
Brook Lopez,lopezbr01,2021,3502,1630,-1.416801826002425,2.207949447153422,.7911476211509967,2.779506461042828,-2.330808078101366,.4486983829414615,-.6650686779468881,1.390348964408314,.7252802864614262,2.890611877539141,2.890611877539141,0,-.4088155953565039,1.885775324029744,1.47695972867324,.0167067439293715
Robin Lopez,lopezro01,2021,2558,1186,-1.077609096287077,.2196838469884228,-.8579252492986547,-1.631387631849502,.7993655016793579,-.8320221301701445,-1.245516560414585,.3766415232145994,-.8688750371999852,1.125481333315738,1.125481333315738,0,-2.364837459741242,-.0537204736605893,-2.418557933401831,-1.133306978985622
Kevin Love,loveke01,2021,948,451,-.7157749581000941,-2.834895694795175,-3.550670652895269,3.062680917697752,-1.908525828783209,1.154155088914543,.1182715782677735,-2.803345004172068,-2.685073425904294,.0150488407983755,.0150488407983755,0,.4577131561667178,-2.929200742978511,-2.471487586811792,.737840887227409
Kyle Lowry,lowryky01,2021,3228,1527,1.76546899139871,-.267954729710678,1.497514261688033,.8219302338464327,-2.768318784922109,-1.946388551075677,1.675705314416353,-.7919137471938937,.8837915672224597,2.873717259608533,2.873717259608533,0,1.84518844772993,-.0191920124084409,1.825996435321489,1.522915257000917
Timothe Luwawu-Cabarrot,luwawti01,2021,2162,1009,-1.825948189089745,-1.324223424331307,-3.150171613421052,-1.125004002135186,-.6017780990251906,-1.726782101160377,-1.864110366492524,-1.236867154537714,-3.100977521030238,-.1814908159270539,-.1814908159270539,0,-.4698830314169748,-1.759937031687396,-2.229820063104371,.4527011406251875
Trey Lyles,lylestr01,2021,743,358,-2.44091077622883,-.9137542456891613,-3.354665021917991,-8.124375206848349,-2.795138829404428,-10.91951403625278,-3.758078725962134,-1.358632125491285,-5.116710851453419,-.4277009933039738,-.4277009933039738,0,-4.331453621650112,-2.271032944566112,-6.602486566216225,-1.069853533306727
Will Magnay,magnawi01,2021,7,3,-25.81380352114186,-13.31791749615379,-39.13172101729565,-34.26517851692137,-54.00062420653379,-88.26580272345515,-29.28374732152787,-22.74438337493381,-52.02813069646169,-.0788491761410689,-.0788491761410689,0,-16.82295697909514,-18.32764741896528,-35.15060439806042,4.581569300889505
Thon Maker,makerth01,2021,155,76,2.329736558690219,-2.55918411776481,-.2294475590745906,-8.447810700799877,-.3670291200226423,-8.81483982082252,.2937638036115996,-2.232803873767722,-1.939040070156122,.0310907583210518,.0310907583210518,0,-1.424325253870722,-2.434184006319657,-3.858509260190379,-1.137358734202852
Theo Maledon,maledth01,2021,3316,1541,-3.738707521169721,-2.894989690514035,-6.633697211683756,-7.989879482721422,-2.263007951734827,-10.25288743445625,-4.75470150421223,-2.921564522393988,-7.676266026606218,-3.899794618874643,-3.899794618874643,0,-5.075694158226113,-2.402822327440097,-7.47851648566621,.695063983571895
